Case_ID, Slide_ID, mae, mse, ssim
image_99, 1, 0.07366827130317688, 0.016217177733778954, 0.9986329674720764
image_99, 2, 0.14381061494350433, 0.03053162433207035, 1.9973273277282715
image_99, 3, 0.21368545293807983, 0.044634029269218445, 2.9959678649902344
image_99, 4, 0.2721861004829407, 0.05459316447377205, 3.995162010192871
image_99, 5, 0.32654982805252075, 0.06322101503610611, 4.994539737701416
image_99, 6, 0.376876562833786, 0.07061120122671127, 5.99410343170166
image_99, 7, 0.40826812386512756, 0.07349864393472672, 6.993930339813232
image_99, 8, 0.4407632052898407, 0.0765330046415329, 7.993722438812256
image_99, 9, 0.47194841504096985, 0.07947342097759247, 8.993558883666992
image_99, 10, 0.5050646066665649, 0.08290986716747284, 9.993365287780762
image_99, 11, 0.5382964611053467, 0.08634907752275467, 10.99317741394043
image_99, 12, 0.5698398351669312, 0.08940141648054123, 11.993021965026855
image_99, 13, 0.6010697484016418, 0.09230367839336395, 12.992881774902344
image_99, 14, 0.632625937461853, 0.09525599330663681, 13.992733001708984
image_99, 15, 0.6655162572860718, 0.09847190231084824, 14.992549896240234
image_99, 16, 0.6972384452819824, 0.10142490267753601, 15.992393493652344
image_99, 17, 0.7318781018257141, 0.10494919121265411, 16.99217414855957
image_99, 18, 0.7632235884666443, 0.10776401311159134, 17.99202537536621
image_99, 19, 0.7952800393104553, 0.11058744788169861, 18.991865158081055
image_99, 20, 0.871139645576477, 0.12691640853881836, 19.9902400970459
image_99, 21, 0.9373975992202759, 0.13929952681064606, 20.98906898498535
image_99, 22, 0.9989340901374817, 0.15000376105308533, 21.98810577392578
image_99, 23, 1.0633752346038818, 0.16149470210075378, 22.986982345581055
image_99, 24, 1.1416497230529785, 0.1787509322166443, 23.985111236572266
image_99, 25, 1.212323546409607, 0.19308245182037354, 24.983707427978516
image_99, 26, 1.276511549949646, 0.20483288168907166, 25.98270034790039
image_99, 27, 1.3524137735366821, 0.22120973467826843, 26.981048583984375
image_99, 28, 1.4270308017730713, 0.23732635378837585, 27.979496002197266
image_99, 29, 1.495597243309021, 0.25112804770469666, 28.97829246520996
image_99, 30, 1.5698567628860474, 0.2672942280769348, 29.976959228515625
image_77, 1, 0.06506213545799255, 0.014934798702597618, 0.9985882043838501
image_77, 2, 0.1516551673412323, 0.036637596786022186, 1.9961129426956177
image_77, 3, 0.24754789471626282, 0.06182384490966797, 2.992947578430176
image_77, 4, 0.3091893494129181, 0.07628164440393448, 3.9915268421173096
image_77, 5, 0.3709053099155426, 0.0906093567609787, 4.990106105804443
image_77, 6, 0.43661269545555115, 0.1057933047413826, 5.988521099090576
image_77, 7, 0.4979613721370697, 0.12028476595878601, 6.98708963394165
image_77, 8, 0.5597666501998901, 0.13516248762607574, 7.985649108886719
image_77, 9, 0.6229745745658875, 0.15039585530757904, 8.984175682067871
image_77, 10, 0.6895731687545776, 0.16606883704662323, 9.982600212097168
image_77, 11, 0.7556958198547363, 0.1813523769378662, 10.98105239868164
image_77, 12, 0.8015825152397156, 0.19070662558078766, 11.980020523071289
image_77, 13, 0.8463736176490784, 0.19979718327522278, 12.979010581970215
image_77, 14, 0.890688419342041, 0.20809006690979004, 13.97807502746582
image_77, 15, 0.9488545656204224, 0.218048095703125, 14.97679328918457
image_77, 16, 1.0380501747131348, 0.2363223433494568, 15.974056243896484
image_77, 17, 1.0897529125213623, 0.2450987547636032, 16.972970962524414
image_77, 18, 1.1364744901657104, 0.2530233860015869, 17.97203254699707
image_77, 19, 1.1823571920394897, 0.2608969807624817, 18.97112464904785
image_77, 20, 1.2471293210983276, 0.27376285195350647, 19.969642639160156
image_77, 21, 1.3130236864089966, 0.28836849331855774, 20.96811294555664
image_77, 22, 1.3853679895401, 0.3044467866420746, 21.966279983520508
image_77, 23, 1.4560922384262085, 0.3196093440055847, 22.96453285217285
image_77, 24, 1.5191255807876587, 0.3324923813343048, 23.96321678161621
image_77, 25, 1.6089885234832764, 0.35612136125564575, 24.960542678833008
image_77, 26, 1.7074790000915527, 0.3841001093387604, 25.957231521606445
image_77, 27, 1.795316219329834, 0.4063824415206909, 26.95460319519043
image_77, 28, 1.892469882965088, 0.4333327114582062, 27.951080322265625
image_77, 29, 1.9474332332611084, 0.44245466589927673, 28.950292587280273
image_77, 30, 2.006667375564575, 0.4533810019493103, 29.949445724487305
image_150, 1, 0.0895041972398758, 0.022658616304397583, 0.9984621405601501
image_150, 2, 0.17702603340148926, 0.04422692209482193, 1.9970972537994385
image_150, 3, 0.25718221068382263, 0.06297686696052551, 2.99591326713562
image_150, 4, 0.3224668800830841, 0.07644105702638626, 3.994884967803955
image_150, 5, 0.39412662386894226, 0.0915696769952774, 4.993587017059326
image_150, 6, 0.46093207597732544, 0.1047128438949585, 5.992501735687256
image_150, 7, 0.5394695997238159, 0.12282223999500275, 6.991306304931641
image_150, 8, 0.6188393831253052, 0.1417941302061081, 7.990038871765137
image_150, 9, 0.6970389485359192, 0.15978415310382843, 8.988909721374512
image_150, 10, 0.7751632332801819, 0.177777960896492, 9.98772144317627
image_150, 11, 0.8554720282554626, 0.19593778252601624, 10.98637580871582
image_150, 12, 0.9173099994659424, 0.2080601006746292, 11.985452651977539
image_150, 13, 0.9797800779342651, 0.22064560651779175, 12.984472274780273
image_150, 14, 1.0617947578430176, 0.23954623937606812, 13.983024597167969
image_150, 15, 1.1457273960113525, 0.25906503200531006, 14.981559753417969
image_150, 16, 1.2273054122924805, 0.27840501070022583, 15.980328559875488
image_150, 17, 1.2991269826889038, 0.2930772602558136, 16.978975296020508
image_150, 18, 1.3629190921783447, 0.30527982115745544, 17.977928161621094
image_150, 19, 1.4531182050704956, 0.3278595805168152, 18.976186752319336
image_150, 20, 1.537992000579834, 0.34816843271255493, 19.97479248046875
image_150, 21, 1.5934468507766724, 0.357319176197052, 20.97403907775879
image_150, 22, 1.6529302597045898, 0.3682398498058319, 21.973358154296875
image_150, 23, 1.7364593744277954, 0.3884313404560089, 22.97201919555664
image_150, 24, 1.8186883926391602, 0.40827232599258423, 23.970703125
image_150, 25, 1.9009816646575928, 0.42811164259910583, 24.969385147094727
image_150, 26, 1.9831093549728394, 0.4479314684867859, 25.968080520629883
image_150, 27, 2.0716187953948975, 0.47067826986312866, 26.96634864807129
image_150, 28, 2.1724390983581543, 0.4994943141937256, 27.963729858398438
image_150, 29, 2.2642197608947754, 0.5232193470001221, 28.96164321899414
image_150, 30, 2.3579251766204834, 0.5474869608879089, 29.959257125854492
image_26, 1, 0.05955820530653, 0.009952563792467117, 0.999040961265564
image_26, 2, 0.10861501842737198, 0.016875863075256348, 1.9985511302947998
image_26, 3, 0.14653708040714264, 0.021224185824394226, 2.9983181953430176
image_26, 4, 0.1907544881105423, 0.026924163103103638, 3.998019218444824
image_26, 5, 0.23477351665496826, 0.0326860286295414, 4.997726917266846
image_26, 6, 0.2787778377532959, 0.038381438702344894, 5.997439384460449
