Case_ID, Slide_ID, mae, mse, ssim
image_99, 1, 0.09730833768844604, 0.46940693259239197, 0.9896312952041626
image_99, 1, 0.2429298460483551, 0.8519344925880432, 1.9742480516433716
image_99, 1, 0.4428447484970093, 1.1203521490097046, 2.95156192779541
image_99, 1, 0.6462647914886475, 1.3996108770370483, 3.9279117584228516
image_99, 1, 0.8473929166793823, 1.680584192276001, 4.905084609985352
image_99, 1, 1.0515775680541992, 1.9624005556106567, 5.882153034210205
image_99, 1, 1.2615134716033936, 2.2490086555480957, 6.857563018798828
image_99, 1, 1.467570424079895, 2.5475428104400635, 7.832733631134033
image_99, 1, 1.6697211265563965, 2.839757204055786, 8.809195518493652
image_99, 1, 1.8745054006576538, 3.111255407333374, 9.78652286529541
image_99, 1, 2.0895891189575195, 3.3649380207061768, 10.763412475585938
image_99, 1, 2.3018288612365723, 3.6171374320983887, 11.740779876708984
image_99, 1, 2.5127649307250977, 3.8917109966278076, 12.7174072265625
image_99, 1, 2.7253589630126953, 4.163965702056885, 13.69363021850586
image_99, 1, 2.9435625076293945, 4.437015056610107, 14.669393539428711
image_99, 1, 3.1731724739074707, 4.7167534828186035, 15.643613815307617
image_99, 1, 3.27305006980896, 5.201033592224121, 16.633909225463867
image_99, 1, 3.3719794750213623, 5.689495086669922, 17.62457847595215
image_99, 1, 3.471061944961548, 6.166019439697266, 18.61541748046875
image_99, 1, 3.5667967796325684, 6.646968841552734, 19.60600471496582
image_99, 1, 3.665437936782837, 7.115163803100586, 20.596521377563477
image_99, 1, 3.873375415802002, 7.3836774826049805, 21.573572158813477
image_99, 1, 4.089480400085449, 7.6412353515625, 22.549495697021484
image_99, 1, 4.304952144622803, 7.892868518829346, 23.526391983032227
image_99, 1, 4.539338111877441, 8.181367874145508, 24.498991012573242
image_99, 1, 4.755532741546631, 8.448799133300781, 25.475332260131836
image_99, 1, 4.966332912445068, 8.728106498718262, 26.451480865478516
image_99, 1, 5.172791004180908, 9.006196022033691, 27.427932739257812
image_99, 1, 5.3924031257629395, 9.287704467773438, 28.40287208557129
image_99, 1, 5.609375, 9.554299354553223, 29.379127502441406
image_77, 2, 0.23145537078380585, 0.28606748580932617, 0.9723307490348816
image_77, 2, 0.4528242349624634, 0.5578844547271729, 1.9465973377227783
image_77, 2, 0.6769949197769165, 0.8286665678024292, 2.920706272125244
image_77, 2, 0.9227456450462341, 1.1297615766525269, 3.890810966491699
image_77, 2, 1.1618751287460327, 1.4160609245300293, 4.862756729125977
image_77, 2, 1.3999608755111694, 1.7093665599822998, 5.8348612785339355
image_77, 2, 1.6174359321594238, 1.9777706861495972, 6.811193943023682
image_77, 2, 1.8354181051254272, 2.2482738494873047, 7.7875075340271
image_77, 2, 2.070382595062256, 2.5408284664154053, 8.760259628295898
image_77, 2, 2.309906005859375, 2.824784517288208, 9.732842445373535
image_77, 2, 2.533863067626953, 3.057542324066162, 10.710673332214355
image_77, 2, 2.7502593994140625, 3.2842226028442383, 11.689522743225098
image_77, 2, 2.968151092529297, 3.518552303314209, 12.667950630187988
image_77, 2, 3.1978423595428467, 3.775617837905884, 13.644020080566406
image_77, 2, 3.4479429721832275, 4.0596232414245605, 14.6156005859375
image_77, 2, 3.5558691024780273, 4.558979511260986, 15.60473346710205
image_77, 2, 3.7263381481170654, 5.136537551879883, 16.588088989257812
image_77, 2, 3.907301425933838, 5.711520671844482, 17.570104598999023
image_77, 2, 4.089770317077637, 6.288143634796143, 18.551183700561523
image_77, 2, 4.261837005615234, 6.876443386077881, 19.52781105041504
image_77, 2, 4.443048000335693, 7.461270809173584, 20.50099754333496
image_77, 2, 4.638941287994385, 8.037163734436035, 21.470590591430664
image_77, 2, 4.852322578430176, 8.603042602539062, 22.434545516967773
image_77, 2, 5.05820369720459, 9.170495986938477, 23.403076171875
image_77, 2, 5.371222496032715, 9.623627662658691, 24.35492515563965
image_77, 2, 5.583705902099609, 9.888257026672363, 25.332605361938477
image_77, 2, 5.789892673492432, 10.16537094116211, 26.31049156188965
image_77, 2, 6.0000200271606445, 10.435672760009766, 27.28734016418457
image_77, 2, 6.201303958892822, 10.68184757232666, 28.26593017578125
image_77, 2, 6.408267974853516, 10.932624816894531, 29.243677139282227
image_150, 3, 0.19229942560195923, 0.2850073575973511, 0.9792159795761108
image_150, 3, 0.3777075707912445, 0.5885521173477173, 1.959039568901062
image_150, 3, 0.5645753741264343, 0.8813794851303101, 2.9388508796691895
image_150, 3, 0.7493049502372742, 1.2042779922485352, 3.919053077697754
image_150, 3, 0.9601460695266724, 1.4556188583374023, 4.896627902984619
image_150, 3, 1.1728715896606445, 1.7074847221374512, 5.87399959564209
image_150, 3, 1.3856542110443115, 1.9460809230804443, 6.85167121887207
image_150, 3, 1.600215196609497, 2.1792752742767334, 7.8291778564453125
image_150, 3, 1.8149269819259644, 2.4171762466430664, 8.806597709655762
image_150, 3, 2.029107093811035, 2.6625704765319824, 9.784133911132812
image_150, 3, 2.2455434799194336, 2.9061264991760254, 10.761529922485352
image_150, 3, 2.466930627822876, 3.1649739742279053, 11.737727165222168
image_150, 3, 2.6721348762512207, 3.4270360469818115, 12.71584701538086
image_150, 3, 2.8772132396698, 3.685699462890625, 13.693342208862305
image_150, 3, 3.0794970989227295, 3.943634510040283, 14.671305656433105
image_150, 3, 3.2870140075683594, 4.207679748535156, 15.648523330688477
image_150, 3, 3.4918711185455322, 4.465972900390625, 16.626123428344727
image_150, 3, 3.697014331817627, 4.726927757263184, 17.603635787963867
