Case_ID, Slide_ID, mae, mse, ssim
image_99, 1, 0.05817015469074249, 0.009755712933838367, 0.999081552028656
image_99, 2, 0.11439377069473267, 0.01878168061375618, 1.9982337951660156
image_99, 3, 0.17114004492759705, 0.027795471251010895, 2.9973859786987305
image_99, 4, 0.2200840264558792, 0.03475010395050049, 3.9968953132629395
image_99, 5, 0.26600053906440735, 0.041018154472112656, 4.996511936187744
image_99, 6, 0.30985307693481445, 0.046939667314291, 5.996196746826172
image_99, 7, 0.3616798520088196, 0.05436983332037926, 6.9955339431762695
image_99, 8, 0.41793614625930786, 0.06305009126663208, 7.994661331176758
image_99, 9, 0.4707236886024475, 0.07086096704006195, 8.993967056274414
image_99, 10, 0.5200446844100952, 0.0778525322675705, 9.993425369262695
image_99, 11, 0.5575810074806213, 0.0825309008359909, 10.993158340454102
image_99, 12, 0.5928996801376343, 0.08682578802108765, 11.992919921875
image_99, 13, 0.6275628209114075, 0.0909385085105896, 12.992700576782227
image_99, 14, 0.6616388559341431, 0.09494681656360626, 13.992486953735352
image_99, 15, 0.6970288157463074, 0.09922623634338379, 14.99223518371582
image_99, 16, 0.7310418486595154, 0.10307546705007553, 15.99201488494873
image_99, 17, 0.7688105702400208, 0.10804706811904907, 16.99168586730957
image_99, 18, 0.8029283285140991, 0.11186160147190094, 17.991474151611328
image_99, 19, 0.8366308212280273, 0.11517710238695145, 18.991273880004883
image_99, 20, 0.8986960053443909, 0.12558823823928833, 19.990114212036133
image_99, 21, 0.9518255591392517, 0.13353294134140015, 20.98934555053711
image_99, 22, 1.0018426179885864, 0.1406984031200409, 21.98871612548828
image_99, 23, 1.0362578630447388, 0.14462366700172424, 22.988466262817383
image_99, 24, 1.0839406251907349, 0.15086722373962402, 23.987812042236328
image_99, 25, 1.1413050889968872, 0.1599891036748886, 24.986806869506836
image_99, 26, 1.1924349069595337, 0.16741833090782166, 25.98609733581543
image_99, 27, 1.2562273740768433, 0.17830659449100494, 26.984798431396484
image_99, 28, 1.3197424411773682, 0.18947872519493103, 27.983518600463867
image_99, 29, 1.3790709972381592, 0.19967365264892578, 28.98247528076172
image_99, 30, 1.441193699836731, 0.2111545354127884, 29.98127555847168
image_77, 1, 0.05832687020301819, 0.013103107921779156, 0.9987301826477051
image_77, 2, 0.1313883364200592, 0.029058787971735, 1.996821641921997
image_77, 3, 0.21505747735500336, 0.04782745614647865, 2.9943642616271973
image_77, 4, 0.27094778418540955, 0.060805901885032654, 3.9930760860443115
image_77, 5, 0.3280481696128845, 0.07385613769292831, 4.991776466369629
image_77, 6, 0.38831204175949097, 0.08714969456195831, 5.990389823913574
image_77, 7, 0.4463917315006256, 0.10067042708396912, 6.989026069641113
image_77, 8, 0.5042808055877686, 0.11437288671731949, 7.987628936767578
image_77, 9, 0.5590596795082092, 0.1272493600845337, 8.986279487609863
image_77, 10, 0.6165008544921875, 0.139812633395195, 9.984945297241211
image_77, 11, 0.6745148301124573, 0.1523786187171936, 10.983609199523926
image_77, 12, 0.7329413890838623, 0.1650395691394806, 11.982250213623047
image_77, 13, 0.7804955840110779, 0.17520621418952942, 12.9811429977417
image_77, 14, 0.8267996311187744, 0.1842944175004959, 13.980148315429688
image_77, 15, 0.884742259979248, 0.19458085298538208, 14.978859901428223
image_77, 16, 0.9735739827156067, 0.21320579946041107, 15.976112365722656
image_77, 17, 1.0274838209152222, 0.2228948175907135, 16.974950790405273
image_77, 18, 1.0759756565093994, 0.23165340721607208, 17.973949432373047
image_77, 19, 1.1230669021606445, 0.24024342000484467, 18.9730167388916
image_77, 20, 1.1724728345870972, 0.24877583980560303, 19.972036361694336
image_77, 21, 1.230379343032837, 0.26098763942718506, 20.97073745727539
image_77, 22, 1.2986767292022705, 0.2755252420902252, 21.969009399414062
image_77, 23, 1.3722723722457886, 0.29162082076072693, 22.966978073120117
image_77, 24, 1.4377754926681519, 0.3053673803806305, 23.965351104736328
image_77, 25, 1.5163750648498535, 0.3232119083404541, 24.963041305541992
image_77, 26, 1.6033726930618286, 0.3440927267074585, 25.9601993560791
image_77, 27, 1.6603971719741821, 0.35369712114334106, 26.95901870727539
image_77, 28, 1.7234013080596924, 0.3640883266925812, 27.957576751708984
image_77, 29, 1.7722570896148682, 0.3715275228023529, 28.956890106201172
image_77, 30, 1.8239275217056274, 0.3800126612186432, 29.956117630004883
image_150, 1, 0.07364542782306671, 0.01638619787991047, 0.9988844990730286
image_150, 2, 0.1455451399087906, 0.03299522399902344, 1.9978861808776855
image_150, 3, 0.21523413062095642, 0.04874289035797119, 2.996823787689209
image_150, 4, 0.28705185651779175, 0.06535331904888153, 3.995807409286499
image_150, 5, 0.3611820936203003, 0.08281321823596954, 4.994694232940674
image_150, 6, 0.4329209327697754, 0.09879755973815918, 5.993670463562012
image_150, 7, 0.506481409072876, 0.11561447381973267, 6.992518901824951
image_150, 8, 0.5865119099617004, 0.13512922823429108, 7.991092205047607
image_150, 9, 0.6612935066223145, 0.1521911770105362, 8.989959716796875
image_150, 10, 0.7437335252761841, 0.1711273491382599, 9.98824691772461
image_150, 11, 0.8115614652633667, 0.1851508468389511, 10.987190246582031
image_150, 12, 0.8798043131828308, 0.19977951049804688, 11.986109733581543
image_150, 13, 0.9515569806098938, 0.21549150347709656, 12.984898567199707
image_150, 14, 1.0150495767593384, 0.22800669074058533, 13.984010696411133
image_150, 15, 1.0776638984680176, 0.23998118937015533, 14.983146667480469
image_150, 16, 1.1565685272216797, 0.2572295069694519, 15.981554985046387
image_150, 17, 1.2350564002990723, 0.27468055486679077, 16.979957580566406
image_150, 18, 1.3068658113479614, 0.28950080275535583, 17.978681564331055
image_150, 19, 1.3586138486862183, 0.29825082421302795, 18.978078842163086
image_150, 20, 1.414844274520874, 0.3081629276275635, 19.97735595703125
image_150, 21, 1.4768513441085815, 0.31965014338493347, 20.976421356201172
image_150, 22, 1.5450729131698608, 0.3338114321231842, 21.975492477416992
